人物:鈴木素懶叫拾取 +0 青銅盔甲(1) ItmeID:20149 物品OBJID:140136196 時間：2023-06-26 00:07:58.824
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 20:30:24.042
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 20:34:40.526
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 20:37:37.904
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 20:56:11.524
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 20:57:46.436
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 20:59:21.394
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:05:15.058
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:11:58.497
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:12:26.181
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:15:12.81
人物:傲天拾取 +0 金幣(273) ItmeID:40308 物品OBJID:140405762 時間：2023-06-26 21:15:13.623
人物:傲天拾取 +0 皮甲(1) ItmeID:120101 物品OBJID:140405763 時間：2023-06-26 21:15:14.306
人物:傲天拾取 +0 (祝福)自我加速藥水(1) ItmeID:140013 物品OBJID:140405764 時間：2023-06-26 21:15:14.963
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:18:34.181
人物:鳳梨火雞頭拾取 +0 金幣(198) ItmeID:40308 物品OBJID:140407411 時間：2023-06-26 21:22:44.849
人物:鳳梨火雞頭拾取 +0 復活卷軸(1) ItmeID:40089 物品OBJID:140407410 時間：2023-06-26 21:22:45.957
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:24:09.28
人物:不好意思拾取 +0 治癒藥水(1) ItmeID:40010 物品OBJID:140411417 時間：2023-06-26 21:33:25.604
人物:傲天拾取 +0 肉(1) ItmeID:40056 物品OBJID:140025225 時間：2023-06-26 21:44:16.669
人物:傲天拾取 +0 金幣(291) ItmeID:40308 物品OBJID:140407877 時間：2023-06-26 21:44:17.797
人物:鳳梨火雞頭拾取 +0 (祝福)瞬間移動卷軸(1) ItmeID:140100 物品OBJID:140418141 時間：2023-06-26 21:55:03.202
人物:鳳梨火雞頭拾取 +0 金幣(207) ItmeID:40308 物品OBJID:140418140 時間：2023-06-26 21:55:03.921
人物:鳳梨火雞頭拾取 +0 金幣(183) ItmeID:40308 物品OBJID:140418142 時間：2023-06-26 21:55:04.586
人物:鳳梨火雞頭拾取 +0 金幣(174) ItmeID:40308 物品OBJID:140421057 時間：2023-06-26 22:07:57.493
人物:鳳梨火雞頭拾取 +0 (祝福)終極治癒藥水(1) ItmeID:140012 物品OBJID:140423366 時間：2023-06-26 22:11:10.109
人物:鳳梨火雞頭拾取 +0 加速魔力回復藥水(1) ItmeID:40015 物品OBJID:140423368 時間：2023-06-26 22:11:10.843
人物:鳳梨火雞頭拾取 +0 金幣(171) ItmeID:40308 物品OBJID:140423369 時間：2023-06-26 22:11:11.545
人物:鳳梨火雞頭拾取 +0 (祝福)治癒藥水(1) ItmeID:140010 物品OBJID:140423370 時間：2023-06-26 22:11:12.221
人物:獅子歌歌拾取 +0 元素石(1) ItmeID:40515 物品OBJID:140354038 時間：2023-06-26 22:39:22.948
人物:沒寶命拾取 +0 金幣(120) ItmeID:40308 物品OBJID:140437714 時間：2023-06-26 23:10:26.718
人物:沒寶命拾取 +0 勇敢藥水(1) ItmeID:40014 物品OBJID:140443975 時間：2023-06-26 23:38:14.452
人物:沒寶命拾取 +0 金幣(450) ItmeID:40308 物品OBJID:140443976 時間：2023-06-26 23:38:15.137
人物:沒寶命拾取 +0 金幣(396) ItmeID:40308 物品OBJID:140443904 時間：2023-06-26 23:38:17.347
人物:沒寶命拾取 +0 金幣(153) ItmeID:40308 物品OBJID:140440256 時間：2023-06-26 23:38:51.304
